Link,Author Keywords
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994745056&partnerID=40&md5=64023d71ea668e479a674d89e4cb7521","Deep uncertainty; Probabilities; Probability bounds; Robust decision making"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994779131&partnerID=40&md5=1b669a6ac6050d9b904d02e0005d6578","Activity recognition; Dempster–Shafer theory; Missing sensor data; Ontological reasoning; Uncertainty reasoning"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991486853&partnerID=40&md5=26fc79946a7d3716de0496f9626f2cc7","Adaptation pathways; Deep uncertainty; Dynamic Adaptive Policy Pathways; Flexibility; Robust Decision-making; Robustness; Scenario discovery"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992371589&partnerID=40&md5=029b232a0826b001b8f3907d86f16af8","Decision space visualizations; Decision support tools; Robust decision making; Scenario modeling; Uncertainty; Water resource"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988493689&partnerID=40&md5=d9a681ca374e627ae1650ec861934c6f","Answer set programming; Automated planning; Autonomous robot; Reinforcement learning; Robot learning"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988928468&partnerID=40&md5=ee7ae8588d934c7ca3066abb97a8584b","Building simulation; Gaussian process emulator; Monte Carlo simulation; Polynomial chaos expansion; Uncertainty quantification"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991712842&partnerID=40&md5=954fb67088f187ca86bc10602da051d2","Decision support systems; Mineral economics; Physical separation; Stochastic optimisation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995745554&partnerID=40&md5=6454fd3bb9b807f3e218477019a202f9","Autonomous underwater vehicles; Autonomy; Decision making; Mission management; Motion planning; Task assignment; Time management"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994275147&partnerID=40&md5=885bce95bcdd4e7f6e4ef795867c10ce",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985990145&partnerID=40&md5=c0117416dcb16b1ad351bb5239b4249e","Clustering; Exploratory modelling; Multi-Pattern Approach; Pathways; Sustainability transitions; Transitions"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994759269&partnerID=40&md5=14c5c164ac7e35f7db185dc16c78e442",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986880428&partnerID=40&md5=b83ca3f0823788083a0ae4921da30bf7","Energy mix; Energy prices; Exploratory modelling; Shale revolution; State stability; System Dynamics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994474392&partnerID=40&md5=1b0db52b0a87d1cbb71026b1a592a896",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978394264&partnerID=40&md5=a05924dada4918d240c774a3d2b54fea","Deep uncertainty; Exploratory modeling; Robust decision making; Scenario discovery"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979085712&partnerID=40&md5=d3e424c2afa328a6cc6c5f7706253af8","Climate change; Robust decision making; Scenario discovery; Scenario diversity analysis; Vulnerability based scenario analysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995948067&partnerID=40&md5=6b9a3167f83f8b794b8803963df2ffef","climate impacts; Differential Split Sample Test; ensemble modeling; model transferability; multimodel averaging; rainfall-runoff modeling"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988723564&partnerID=40&md5=51a965218f49bcaaeea51e396f9895e7","Climate change; Climate resilience; Optimization model; Power systems planning; Robust decision making; Stochastic programming"
